Posicion,Competidor,PTOS,Neust.,Glicko-2
Alfil de Oro,Edison (Ear512),9.5 (+10),9.5 (+35),1968
Alfil de Plata,Jorge Andres (Kopalito),9.5 (+10),9.5 (+35),1927
Alfil de Bronce,Camilo (cgallego00),8.75 (+10.5),2.5 (+45.75),1927
,Pei (pei12),1.5 (+11.5),1.5 (+55.75),1920
,Andres (arandres),7,22,1830
,Alejandro (Alejandro-mesa),7,9,1394
,Jairo (jajajairoramirez),5,12,1666
,Israel (IAHMCOL),4,16,1543
,Felipe (felipemesamo),2,8,1375
,Nicolas (CaballitodeMarr),2,4,1394
,Harry (marinvahos),0,0,1497
,Nelson (esgrimista98),0,0,1213
,Wasser (WasserTOAO),0,0,1122
